latitude,longitude,place_name,place_lat,place_lng
-36.867097,174.620712,Super Liquor Westside,-36.8636935,174.61401229999998
-36.867097,174.620712,Eno Plastic Nz,-36.8661345,174.6128923
-36.739163,174.704012,Thirsty Liquor Mercari Way,-36.7327067,174.70918989999998
-36.739163,174.704012,Albany Liquor,-36.7447369,174.6968128
-36.739163,174.704012,Thirsty Liquor Rosedale,-36.742791,174.6972975
-36.739163,174.704012,Wine And More,-36.7428169,174.69729909999998
-36.964291,174.816726,Thirsty Liquor,-36.9628794,174.8145609
-36.742989,174.692243,Liquorland Albany,-36.7443581,174.6935196
-36.742989,174.692243,Albany Liquor,-36.7447369,174.6968128
-36.742989,174.692243,Thirsty Liquor Rosedale,-36.742791,174.6972975
-36.742989,174.692243,Wine And More,-36.7428169,174.69729909999998
-36.742989,174.692243,Liquor Centre Albany Highway,-36.7468967,174.69370419999998
-36.808881,174.733677,Liquorland Birkenhead,-36.8115257,174.7239844
-36.808881,174.733677,Super Liquor Birkenhead,-36.8107769,174.72562539999998
-36.808881,174.733677,Liquor Centre Onewa,-36.8106289,174.7379293
-36.808881,174.733677,Batenburgs NZ Gift Baskets & Flowers | Award-winning Products,-36.8125417,174.72697119999998
-37.017649,174.919792,"Riverton Liquor, Manurewa",-37.0242955,174.91470339999998
-36.883656,174.628205,Super Liquor Valley Road,-36.886251699999995,174.62809389999998
-36.883656,174.628205,Liquorland WestCity,-36.8814335,174.63148310000003
-36.84188,174.601693,Super Liquor Red Hills,-36.836440499999995,174.6005889
-36.882722,174.914424,Bucklands Beach Liquor,-36.8800569,174.9117387
-36.862578,174.868137,Maskell Street Liquor,-36.859170399999996,174.86132849999998
-36.85259,174.646309,Super Liquor Central Park,-36.8572451,174.6372444
-36.972905,174.892909,Liquor Legends New Zealand,-36.976967699999996,174.8975457
-36.972905,174.892909,Chapel Downs Discount Liquor,-36.976313399999995,174.8959462
-36.972905,174.892909,Liquor Baron (Otara),-36.9685074,174.885585
-36.972905,174.892909,Kk Liquor,-36.9685436,174.8856143
-36.972905,174.892909,Jaspreet Singh Baidwan,-36.9758022,174.8872724
-36.96796,174.918244,The Cellar Ormiston Town Centre - Liquor Store Ormiston,-36.9649389,174.9140917
-36.953118,174.840645,Super Liquor Mangere East,-36.9571669,174.8333874
-36.953118,174.840645,Liquorland Papatoetoe,-36.9553237,174.8507774
-36.953118,174.840645,The Bottle-O Mangere East,-36.958180899999995,174.83251339999998
-36.953118,174.840645,KK Liquor,-36.9462033,174.84590749999998
-36.953118,174.840645,Choice Liquor Mart,-36.9515771,174.83901939999998
-36.861976,174.717535,Liquor Centre Point Chev - Great North Road,-36.8680936,174.7168691
-36.861976,174.717535,Glengarry Wines - Westmere,-36.854178399999995,174.71809
-36.861976,174.717535,The Liquor Store - Point Chevalier,-36.8695267,174.7136619
-36.967849,174.919678,The Cellar Ormiston Town Centre - Liquor Store Ormiston,-36.9649389,174.9140917
-36.909712,174.875035,Pakuranga Plaza Liquor Centre,-36.9120565,174.8655029
-36.909712,174.875035,Ti Rakau Liquor & Wine,-36.9154493,174.8720722
-36.909712,174.875035,Thirsty Liquor Pakuranga,-36.912123,174.86545279999999
-36.902825,174.80696,Liquorland Ellerslie,-36.8969696,174.8071154
-36.902825,174.80696,Ellerslie Liquor Centre,-36.898091699999995,174.80961109999998
-36.902825,174.80696,Wine Direct – Penrose,-36.909118,174.81370199999998
-36.902825,174.80696,Glengarry Wines - Ellerslie,-36.898036399999995,174.8086219
-36.902825,174.80696,Liquor,-36.9068665,174.8048605
-36.902825,174.80696,The Bottle-O Ellerslie,-36.896985,174.8071599
-36.912708,174.747139,Super Liquor Three Kings,-36.9096291,174.75422899999998
